Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
travel_time_average,transportation_home_rate,transportation_car_alone_rate,transportation_walk_rate,transportation_carpool_rate,transportation_motorcycle_rate,transportation_bicycle_rate,transportation_public_rate,travel_time_less_than_10_rate,travel_time_10_19_rate,travel_time_20_29_rate,travel_time_30_39_rate,travel_time_40_59_rate,travel_time_60_89_rate
16,0.020626432,0.803666921,0.063407181,0.10618793,0.006111536,0,0,0.490639626,0.204368175,0.080343214,0.096723869,0.062402496,0.060062402
19,0.02533532,0.789865872,0.037257824,0.125186289,0.016393443,0,0,0.385321101,0.123853211,0.145259939,0.220183486,0.074923547,0.050458716
22,0.017618469,0.812879708,0.036452005,0.12272175,0,0,0,0.466295609,0.161410019,0.077922078,0.115646259,0.081014224,0.072356215
20,0.013318535,0.89900111,0,0.04772475,0.013318535,0,0,0.358830146,0.231721035,0.112485939,0.139482565,0.112485939,0.040494938
32,0.048387097,0.778401122,0,0.149368864,0,0,0,0.083271923,0.218128224,0.262343405,0.201915991,0.081798084,0.081061164
21,0.064502165,0.755411255,0.009090909,0.128138528,0.006493506,0,0.000865801,0.292457196,0.354465525,0.130032392,0.065710319,0.066635817,0.075890791
25,0.013994911,0.80216285,0.007633588,0.171755725,0.002544529,0,0.000636132,0.157419355,0.247741935,0.267741935,0.179354839,0.072258065,0.037419355
23,0.005422153,0.822618125,0.035631294,0.123160341,0,0,0.003098373,0.323208723,0.228971963,0.144080997,0.056074766,0.186137072,0.052959502
38,0.005237887,0.896988215,0.008729812,0.083806198,0,0,0,0.059236507,0.213690215,0.186046512,0.202720491,0.128126371,0.162351909
30,0.085470085,0.782661783,0.005494505,0.125152625,0.001221001,0,0,0.08611482,0.252336449,0.208277704,0.196261682,0.159546061,0.054739653
35,0.028196721,0.847213115,0.02557377,0.09442623,0,0,0.003934426,0.099865047,0.402159244,0.112010796,0.068151147,0.147773279,0.067476383
23,0.067586207,0.830344828,0,0.102068966,0,0,0,0.446745562,0.176775148,0.062869822,0.084319527,0.090236686,0.108727811
27,0.05728789,0.776649746,0.016678753,0.137055838,0,0,0,0.213846154,0.273076923,0.151538462,0.086153846,0.170769231,0.061538462
17,0.005832793,0.863901491,0.01749838,0.086843811,0,0,0,0.569100391,0.155801825,0.033246415,0.044328553,0.117340287,0.080182529
29,0.027383367,0.822515213,0.034482759,0.101419878,0,0,0,0.253388947,0.192909281,0.087591241,0.075078206,0.216892596,0.157455683
35,0.03962704,0.783216783,0.003885004,0.146076146,0.005439005,0,0,0.067961165,0.232200647,0.09789644,0.194174757,0.231391586,0.144012945
28,0.015789474,0.821052632,0.020574163,0.133492823,0,0,0.007177033,0.090909091,0.32231405,0.180359747,0.176470588,0.128342246,0.086533787
18,0.013719512,0.854166667,0,0.116361789,0,0,0.015752033,0.413704276,0.232354456,0.139103555,0.072127769,0.080886141,0.052035033
16,0.029494382,0.844101124,0,0.091292135,0,0,0,0.439942113,0.282199711,0.08683068,0.069464544,0.059334298,0.062228654
28,0.018898932,0.795398521,0.01232539,0.156943303,0.002465078,0,0,0.189279732,0.317420436,0.225293132,0.049413735,0.084589615,0.083752094
20,0.024651661,0.798499464,0.048231511,0.102893891,0.003215434,0,0,0.281318681,0.343956044,0.096703297,0.114285714,0.084615385,0.064835165
31,0.043256997,0.765903308,0.012722646,0.158396947,0,0,0.014631043,0.153590426,0.169547872,0.201462766,0.208111702,0.176196809,0.047207447
42,0.074098361,0.73704918,0.053114754,0.114754098,0,0,0,0.115439093,0.21388102,0.151558074,0.076487252,0.206090652,0.147308782
21,0.036520312,0.574066475,0.001641362,0.387771851,0,0,0,0.502981261,0.141822828,0.030238501,0.114565588,0.117120954,0.068568995
26,0.034924331,0.704307334,0.025029104,0.235739232,0,0,0,0.162846803,0.425211098,0.036791315,0.057297949,0.247889023,0.05066345
28,0.058087578,0.787310098,0.014298481,0.117068811,0,0,0.013404826,0.092979127,0.179316888,0.274193548,0.236242884,0.116698292,0.096774194
24,0.014697237,0.841269841,0.009994121,0.131099353,0,0,0,0.205250597,0.430190931,0.104415274,0.074582339,0.126491647,0.020883055
21,0.024210526,0.831052632,0,0.127894737,0.007368421,0,0,0.150485437,0.368392665,0.247033441,0.150485437,0.04368932,0.014563107
13,0.019194462,0.768722467,0.027375708,0.166142228,0,0.014159849,0,0.37921078,0.446262432,0.102662817,0.033365415,0.00994546,0.023740776
12,0.028473804,0.784168565,0.152050114,0.026765376,0,0,0,0.478311841,0.398007034,0.019343494,0.041617819,0.046307151,0.011137163
14,0.009174312,0.858307849,0.019707781,0.084267754,0.009174312,0.010873259,0,0.354595336,0.440672154,0.085733882,0.056584362,0.044238683,0.013717421
29,0.054794521,0.854919054,0.00622665,0.082814446,0,0,0,0.090909091,0.149538867,0.260869565,0.301054018,0.147562582,0.034914361
22,0.020905923,0.857142857,0,0.115563298,0,0,0,0.123368921,0.240213523,0.350533808,0.206405694,0.06168446,0.017793594
20,0.019306931,0.905693069,0,0.048762376,0.008168317,0,0,0.130742049,0.49091368,0.227158001,0.081019687,0.027511358,0.014891469
18,0.015673104,0.808284355,0.001959138,0.145535964,0.001679261,0,0,0.394654535,0.367927211,0.083593972,0.050611316,0.062553312,0.015353995
21,0.026955075,0.856239601,0.029617304,0.080199667,0.000665557,0.000998336,0.005324459,0.127564979,0.375170999,0.293433653,0.115937073,0.0249658,0.03625171
29,0.022836538,0.815504808,0.004807692,0.140024038,0,0,0,0.046125461,0.227552276,0.389298893,0.171586716,0.089175892,0.035670357
21,0.047972305,0.770524233,0.004945598,0.159742829,0,0.00148368,0.003956479,0.192727273,0.436883117,0.10961039,0.098181818,0.097142857,0.048831169
23,0.07346691,0.679417122,0.066180935,0.142683667,0,0.003035823,0.023679417,0.31061599,0.171690695,0.192005242,0.139580603,0.082568807,0.088466579
15,0.010285714,0.702285714,0.042857143,0.189714286,0,0,0.032,0.545612009,0.259815242,0.058891455,0.030600462,0.038106236,0.046766744
23,0.117647059,0.679065744,0.121972318,0.07266436,0.00432526,0,0.000865052,0.356862745,0.284313725,0.103921569,0.012745098,0.044117647,0.184313725
20,0.071331213,0.783734666,0.026351658,0.113130395,0,0.005452067,0,0.125733855,0.434931507,0.289138943,0.102250489,0.020058708,0.01369863
16,0.027683997,0.836259284,0.014854828,0.116137745,0,0,0,0.525347222,0.261458333,0.040972222,0.047916667,0.073611111,0.03125
22,0.045748116,0.771259419,0.019913886,0.163078579,0,0,0,0.157924422,0.371122391,0.183869148,0.139875917,0.100394811,0.034404963
20,0.025614399,0.784008307,0.073035652,0.106265144,0.005538249,0.002076843,0,0.331083481,0.273179396,0.137833037,0.129307282,0.062522202,0.042628774
30,0.035339064,0.898758357,0,0.055396371,0.005730659,0,0,0.098019802,0.287128713,0.2,0.182178218,0.103960396,0.054455446
24,0.025892857,0.811607143,0.050892857,0.099107143,0,0,0.005357143,0.213565536,0.19431714,0.125572869,0.251145738,0.173235564,0.034830431
34,0.015832482,0.863636364,0,0.115934627,0,0,0,0.016606124,0.160871821,0.199273482,0.285936689,0.215879606,0.077841204
30,0.054603175,0.806349206,0.027936508,0.088888889,0,0,0.004444444,0.115513768,0.263263936,0.126930826,0.111484218,0.243116185,0.134989926
28,0.017899761,0.874105012,0.022673031,0.068615752,0.001193317,0,0.001193317,0.144592953,0.282503038,0.17436209,0.117253949,0.157351154,0.100850547
29,0.030823426,0.821664465,0.005284016,0.12109203,0,0.007045354,0,0.201726488,0.20945025,0.049522944,0.169014085,0.276692413,0.088596093
24,0.014869888,0.812267658,0.020446097,0.143122677,0,0,0.001858736,0.156603774,0.247169811,0.09245283,0.332075472,0.122641509,0.047169811
26,0.030503979,0.809018568,0.014588859,0.092838196,0,0.01193634,0,0.236662107,0.132694938,0.266757866,0.162790698,0.117647059,0.050615595
22,0.017282479,0.756853397,0.063766389,0.154350417,0,0.007747318,0,0.363250455,0.287446938,0.027895694,0.096422074,0.097028502,0.107944209
20,0.054857143,0.851428571,0.005142857,0.052571429,0,0.004,0,0.064691657,0.474002418,0.27267231,0.109431681,0.061668682,0.013301088
27,0.115218246,0.637042863,0.041289815,0.038930397,0,0.027526543,0.13409359,0.04,0.379555556,0.179555556,0.193333333,0.128,0.043555556
18,0.058637084,0.717115689,0.038431062,0.09429477,0.006735341,0.024564184,0.06022187,0.188552189,0.427188552,0.227693603,0.082491582,0.030723906,0.043350168
21,0.033594625,0.676371781,0.050391937,0.208286674,0,0.004479283,0.017917133,0.158748552,0.414831981,0.17612978,0.10428737,0.105446118,0.010428737
39,0.22887768,0.539092055,0,0.206809584,0,0,0.001261034,0,0.110384301,0.107113655,0.277187244,0.272281276,0.233033524
23,0.053872054,0.846801347,0.008417508,0.028619529,0,0,0.042087542,0.078291815,0.274021352,0.391459075,0.151245552,0.087188612,0
22,0.081280788,0.733990148,0.008210181,0.10591133,0.004926108,0.006568144,0.054187192,0.108132261,0.309204647,0.309204647,0.202859696,0.025022341,0.014298481
21,0.02191294,0.811963281,0.019840095,0.114894877,0.002665087,0.006810779,0.015398282,0.092037542,0.384196185,0.261277626,0.138056312,0.089009991,0.031183772
24,0.056952283,0.785531042,0.001539251,0.116469985,0.002565418,0.001539251,0.021549513,0.096300326,0.360174102,0.213819369,0.235038085,0.062023939,0.009249184
27,0.055476529,0.680654339,0.044096728,0.174253201,0,0,0.041251778,0.127259036,0.216114458,0.240963855,0.262048193,0.100150602,0.015813253
14,0,0.853571429,0.014285714,0.121428571,0,0.010714286,0,0.35,0.45,0.035714286,0.085714286,0.05,0.014285714
26,0.022281982,0.650019209,0.02919708,0.249327699,0,0,0.04917403,0.097053045,0.27740668,0.195284872,0.245579568,0.114341847,0.047937132
18,0.096039604,0.762376238,0.015841584,0.125742574,0,0,0,0.501642935,0.231106243,0.019715225,0.04381161,0.136363636,0.06736035
30,0,0.655172414,0,0.068965517,0,0,0.114942529,0.114942529,0.24137931,0.356321839,0.057471264,0,0.172413793
32,0.205381658,0.580999451,0.04667765,0.086216365,0.000549149,0,0.076331686,0.266067726,0.154803041,0.04561161,0.107118176,0.261230131,0.109882516
34,0.081307628,0.803855826,0,0.061190277,0,0,0,0.106751825,0.116788321,0.201642336,0.193430657,0.27189781,0.086678832
35,0.124037639,0.842172797,0.001283148,0.0213858,0,0,0,0.063476563,0.16015625,0.221679688,0.239746094,0.15625,0.141113281
36,0.059060895,0.809611152,0,0.105649303,0.007703595,0.006236244,0.008070433,0.049512671,0.205847953,0.076803119,0.152436647,0.315009747,0.191033138
29,0.23120657,0.696778269,0.024636766,0.024005054,0,0,0.005685407,0.1010682,0.298274445,0.180772391,0.197206245,0.147904684,0.059161873
32,0.063195147,0.787664307,0,0.112740142,0,0.004550051,0,0.102536427,0.10577442,0.259579061,0.184565569,0.194279547,0.133297356
31,0.107021132,0.806066803,0.009884117,0.059645535,0.00408998,0,0.003749148,0.028625954,0.277480916,0.170610687,0.201908397,0.21259542,0.096946565
29,0.015873016,0.82010582,0.029982363,0.111111111,0,0,0,0.064516129,0.240143369,0.200716846,0.294802867,0.120967742,0.047491039
23,0.300417246,0.561891516,0.04867872,0.057023644,0,0.031988873,0,0.188866799,0.383697813,0.186878728,0.033797217,0.115308151,0.033797217
29,0.055307263,0.798882682,0.042458101,0.08547486,0,0,0,0.107037256,0.260792431,0.088704908,0.204021289,0.206386753,0.122412774
26,0.076604555,0.696687371,0.060041408,0.155279503,0,0.011387164,0,0.176008969,0.331838565,0.119955157,0.025784753,0.195067265,0.141255605
32,0.10981572,0.770966529,0.006769462,0.112448289,0,0,0,0.108998733,0.098859316,0.128432615,0.313899451,0.25095057,0.093789607
24,0.013580247,0.866666667,0.000411523,0.109053498,0,0.004115226,0,0.075511055,0.338756779,0.144347101,0.277847309,0.122236128,0.037964122
35,0.102362205,0.781860601,0.007582386,0.080198309,0.012540099,0.015456401,0,0.036712151,0.192332684,0.182261209,0.145549058,0.234892788,0.19525666
21,0.034585966,0.870635185,0.003990688,0.083139342,0,0,0.007648819,0.129521185,0.356872201,0.282810885,0.127798829,0.080261798,0.017568033
23,0.012084592,0.734570565,0.006042296,0.186016401,0,0.019853259,0.017263703,0.068588903,0.361293141,0.19266055,0.256880734,0.063346439,0.057230232
27,0.147516897,0.734352042,0.004701734,0.079047899,0.003232442,0,0.016456068,0.066873492,0.225784212,0.303688383,0.21027232,0.144432954,0.039986212
23,0.012708499,0.733121525,0.050833995,0.119936458,0,0,0.083399523,0.10458568,0.380530973,0.247787611,0.14159292,0.041029767,0.051488335
22,0.022824536,0.667142178,0.000951022,0.220161674,0.007132668,0.023775559,0.05658583,0.118248175,0.328953771,0.261313869,0.215085158,0.055961071,0.008272506
29,0.013184584,0.598377282,0.056795132,0.21703854,0,0.04969574,0.04969574,0.138746146,0.28057554,0.21274409,0.268242549,0,0.046248715
25,0.037723362,0.699536731,0.041694242,0.165453342,0.004632694,0.013898081,0,0.133425034,0.362448418,0.160935351,0.07221458,0.176753783,0.083218707
38,0.051743963,0.76734381,0.012265236,0.127635109,0.019547719,0,0,0.043249798,0.175424414,0.131366209,0.161681487,0.246968472,0.193209378
31,0.179575265,0.747657714,0.012492192,0.060274828,0,0,0,0.030833651,0.189189189,0.247430529,0.146555006,0.333460221,0.039969547
34,0.050859348,0.827078218,0.013679411,0.103121712,0,0,0,0.093495935,0.244641537,0.145602365,0.196600148,0.159645233,0.114560237
30,0.014918191,0.889316651,0.006256015,0.086621752,0,0.002887392,0,0.078651685,0.186126038,0.196384954,0.220810943,0.240351734,0.060576453
32,0.022171254,0.762232416,0.005351682,0.196100917,0.005351682,0,0,0.069976544,0.123143081,0.145426114,0.422595778,0.155590305,0.061767005
30,0.015164645,0.821923744,0.003466205,0.136048527,0.01169844,0.007365685,0,0.132424109,0.143422789,0.21733392,0.214254289,0.203255609,0.069071711
29,0.032339565,0.767559373,0.017180394,0.101566448,0,0.00353714,0.015664477,0.197389034,0.225587467,0.172845953,0.140992167,0.148825065,0.053263708
22,0.018754186,0.546215673,0.06664434,0.071667783,0,0.175485599,0.108506363,0.084300341,0.417406143,0.242320819,0.145392491,0.079180887,0.010921502
18,0.083519761,0.725950783,0.025354213,0.080909769,0.021998509,0,0.024235645,0.164768104,0.365744508,0.285191212,0.125711961,0.047599675,0.01098454
20,0.060962567,0.849197861,0,0.08342246,0,0,0.006417112,0.149202733,0.317767654,0.266514806,0.156036446,0.095671982,0.009111617
26,0.009925558,0.70471464,0.003722084,0.215880893,0,0.013647643,0.021712159,0.051378446,0.257518797,0.280701754,0.234962406,0.130952381,0.025062657
22,0.025689819,0.728353949,0.016175071,0.187440533,0,0.019980971,0.006184586,0.145507813,0.319335938,0.175292969,0.21875,0.126953125,0.006347656
23,0.013365735,0.622114216,0.055893074,0.280680437,0,0,0.027946537,0.269704433,0.226600985,0.115763547,0.165024631,0.176108374,0.02955665
27,0.009345794,0.574766355,0.009345794,0.154205607,0,0,0.088785047,0,0.235849057,0.202830189,0.382075472,0.132075472,0.047169811
23,0.018211921,0.823675497,0.000827815,0.105546358,0,0.010761589,0.034768212,0.045109612,0.351180438,0.305649241,0.226391231,0.05143339,0.006323777
21,0.0125,0.858152174,0,0.054891304,0.013586957,0,0.060869565,0.144744084,0.275178866,0.309851403,0.215189873,0.041827188,0.006053935
22,0.061612806,0.845061915,0.005436424,0.063122924,0,0,0.016913319,0.099774702,0.25394271,0.370453814,0.177341487,0.081429031,0.013196009
15,0.073754789,0.453065134,0.274904215,0.018199234,0,0.123563218,0.05651341,0.308169597,0.34229576,0.201654602,0.098241986,0.046535677,0.003102378
22,0.033488372,0.673953488,0.036511628,0.055348837,0.001860465,0.089534884,0.092790698,0.166746872,0.305341675,0.261790183,0.16506256,0.035129933,0.048845043
21,0.066378433,0.732451679,0.047049847,0.053153611,0.004323499,0.073245168,0.012461851,0.055843095,0.344865159,0.391718878,0.151457369,0.041950422,0.014165078
17,0.08622101,0.464120055,0.234106412,0.026193724,0.004911323,0.108867667,0.056207367,0.236787101,0.374440131,0.172588832,0.159450582,0.030456853,0.024783517
20,0.024762691,0.478745357,0.215022699,0.055716054,0,0.116797359,0.096987206,0.200169276,0.416419805,0.209479475,0.085907744,0.040203132,0.015658062
22,0.008711434,0.778221416,0.058802178,0.035934664,0,0.02323049,0.095099819,0.072134749,0.430977664,0.273892347,0.126327353,0.057854266,0.004760161
21,0.025753769,0.694723618,0.021984925,0.099246231,0.024497487,0.029522613,0.099246231,0.115409413,0.456479691,0.221792392,0.103159252,0.064474533,0.00967118
34,0.122817955,0.756234414,0.000623441,0.091645885,0,0,0,0.085998579,0.10732054,0.265103056,0.181947406,0.19047619,0.141435679
22,0.023556231,0.719604863,0.041793313,0.104103343,0,0.028115502,0.056990881,0.117509728,0.385992218,0.252140078,0.13618677,0.052918288,0.040466926
21,0.003554502,0.785545024,0.026066351,0.106635071,0,0.013033175,0.065165877,0.130796671,0.36979786,0.294887039,0.112960761,0.064209275,0.01783591
22,0.028197898,0.738784927,0.005383235,0.116124071,0.011022815,0.064342476,0.036144578,0.068583487,0.356897916,0.22052229,0.26246373,0.067528357,0.024004221
24,0.092117324,0.737396884,0,0.088450962,0.027956004,0.027497709,0.021539872,0.077738516,0.395759717,0.255931348,0.150429076,0.062594649,0.035335689
19,0.056983719,0.707369323,0.002570694,0.138389032,0.006426735,0.014995716,0.058697515,0.136301681,0.458427987,0.173557474,0.178100863,0.036801454,0.016810541
24,0.0433213,0.799638989,0,0.113718412,0,0.014440433,0.028880866,0.030188679,0.364150943,0.288050314,0.223899371,0.055345912,0.009433962
24,0.035050072,0.708154506,0.052932761,0.074391989,0.022174535,0.012160229,0.082260372,0.081541883,0.266123054,0.249073388,0.272794663,0.106004448,0.024462565
21,0.011023177,0.746184285,0.018937253,0.123516111,0,0.057094404,0.024024873,0.204344098,0.278651043,0.313803944,0.100314376,0.048299514,0.043155187
19,0.058402519,0.711422846,0.017463498,0.10392213,0.008016032,0.040366447,0.051245348,0.130434783,0.451200973,0.206445728,0.151717847,0.02249924,0.032836728
24,0.054393305,0.77458159,0.030334728,0.070606695,0,0.012552301,0.038179916,0.152654867,0.372234513,0.214048673,0.154314159,0.011061947,0.060840708
23,0.050476725,0.697139652,0.00224341,0.121144139,0.037577117,0.044307347,0.02916433,0.088009451,0.326639102,0.279976373,0.193148258,0.066154755,0.042528057
20,0.05689703,0.650013877,0.020815987,0.064390785,0,0.057174577,0.136830419,0.120953502,0.378457916,0.300176574,0.08534432,0.082695703,0.027369041
19,0.069881202,0.765199161,0,0.06918239,0,0.034241789,0.061495458,0.087903832,0.398196844,0.359128475,0.113448535,0.015026296,0.026296018
