Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population
number_of_years_of_education,diversity,health_insurance_public_rate,health_insurance_none_rate,age_median,age_18_24_rate,age_25_34_rate,age_more_than_85_rate,age_75_84_rate,age_35_44_rate,age_45_54_rate,age_65_74_rate,age_55_64_rate,age_10_14_rate,age_15_17_rate,age_5_9_rate,household_type_family_rate,dropout_16_19_inschool_rate,household_count,average_household_size,housing_unit_count,housing_unit_occupied_count,housing_unit_median_value,housing_unit_median_gross_rent,education_less_than_high_school_rate,education_high_school_graduate_rate,education_college_rate,education_bachelor_rate,education_master_rate,education_professional_school_rate,education_doctoral_rate,race_white_rate,race_black_africa_rate,race_indian_alaska_rate,race_asian_rate,race_islander_rate,race_other_rate,race_two_more_rate,population,population_density
12.73356671,0.386163878,0.471875,0.122569444,45.7,0.050321826,0.112346401,0.020772382,0.066120538,0.127559977,0.161205383,0.098303101,0.165886483,0.030134582,0.033352838,0.057343476,0.739312657,0.941176471,1193,2.41,1459,1193,72100,746,0.121353559,0.473356671,0.288214702,0.06495527,0.028782575,0.019447686,0.003889537,0.757167934,0.19953189,0.009069631,0.002925688,0,0.023990638,0.007314219,3418,6.453356
11.61430481,0.295965923,0.706904038,0.074685193,41,0.098520085,0.085412262,0.026215645,0.093023256,0.095137421,0.115856237,0.065961945,0.150951374,0.076955603,0.031289641,0.062156448,0.614314115,1,1006,2.29,1245,1006,47200,574,0.286764706,0.419117647,0.222593583,0.063502674,0.003342246,0,0.004679144,0.178435518,0.81987315,0,0,0,0.001691332,0,2365,163.2508
12.29739045,0.561785121,0.540148448,0.175101215,40.5,0.07291323,0.09534807,0.029033322,0.057076872,0.125701089,0.137578357,0.098977235,0.126360937,0.063675355,0.043220059,0.104256021,0.605388273,1,1262,2.32,1441,1262,68300,609,0.221565731,0.39783358,0.218119153,0.124076809,0.031511571,0.004431315,0.002461841,0.450016496,0.483008908,0.001649621,0.006928406,0,0.047179149,0.01121742,3031,118.7758
11.59697146,0.320012608,0.566364711,0.215833005,43.3,0.117369043,0.120913746,0.023631351,0.063016936,0.093737692,0.12524616,0.12051989,0.129184718,0.059866089,0.034659315,0.066167783,0.688212928,1,1052,2.41,1259,1052,42300,499,0.26616191,0.485730926,0.174723355,0.06406523,0.009318579,0,0,0.192201654,0.801890508,0.003150847,0,0,0,0.002756991,2539,34.01126
12.87944359,0.182723983,0.47228244,0.10374729,52.5,0.076557864,0.052522255,0.041839763,0.096735905,0.107715134,0.172106825,0.135311573,0.161721068,0.058456973,0.032047478,0.023442136,0.638554217,0.969924812,1494,2.16,2586,1494,116000,551,0.152241113,0.360896445,0.312982998,0.11244204,0.04675425,0.008500773,0.00618238,0.902373887,0.011869436,0.030860534,0.013353116,0,0,0.041543027,3370,22.50082
12.46477052,0.087880183,0.493470149,0.174906716,48.2,0.060634328,0.076958955,0.011660448,0.064365672,0.09375,0.178171642,0.119869403,0.176772388,0.056902985,0.043843284,0.0625,0.704494382,1,890,2.41,1247,890,82600,564,0.159663866,0.470588235,0.255332902,0.063348416,0.040077569,0.007756949,0.003232062,0.954757463,0.013059701,0.006996269,0.007462687,0,0.000932836,0.016791045,2144,7.93948
11.96405102,0.046405287,0.453706218,0.237849579,44.5,0.079826229,0.104805865,0.008417051,0.088514798,0.103991311,0.122726039,0.137931034,0.13603041,0.048058648,0.048330166,0.067879446,0.666445623,0.865384615,1508,2.44,1913,1508,71300,486,0.262079629,0.335523773,0.325086973,0.053730189,0.021646695,0,0.001932741,0.976377953,0,0,0,0,0.010860711,0.012761336,3683,10.22871
12.46107359,0.078529997,0.476620616,0.192348565,49.4,0.056874511,0.112705453,0.016436212,0.039916514,0.074354292,0.160448735,0.144012523,0.186016175,0.072528046,0.036264023,0.039655622,0.677648579,0.955801105,1548,2.43,1926,1548,91500,542,0.168503377,0.45396374,0.24742268,0.089939566,0.027017419,0,0.013153217,0.959561701,0.003391599,0,0.013566397,0,0.000782677,0.022697626,3833,74.36996
12.63638993,0.077314004,0.492294701,0.132362255,48.6,0.109563015,0.067764408,0.012244036,0.0569981,0.1139962,0.14249525,0.155372599,0.180916192,0.044754064,0.02849905,0.047920625,0.711111111,0.971428571,1710,2.77,2155,1710,93400,585,0.153601388,0.373445184,0.357535435,0.078391669,0.037026323,0,0,0.960312434,0,0.014566181,0.003166561,0,0.007599747,0.014355077,4737,16.52443
12.99374844,0.054121937,0.545759162,0.122722513,59,0.025549738,0.067225131,0.023874346,0.14617801,0.07895288,0.128167539,0.189109948,0.203979058,0.049424084,0.03078534,0.038115183,0.677926886,1,2161,2.21,3642,2161,133300,570,0.067766942,0.501375344,0.277819455,0.111277819,0.037259315,0,0.004501125,0.972356021,0,0,0.010680628,0,0,0.016963351,4775,29.104
