Politics,Politics,Politics,Politics,Politics,Politics,Politics,Politics,Politics,Politics,Politics
incentive_count_residential,incentive_count_nonresidential,incentive_residential_state_level,incentive_nonresidential_state_level,net_metering,feedin_tariff,property_tax,sales_tax,rebate,voting_2016_dem_percentage,voting_2016_gop_percentage
8,16,2,4,15,0,0,0,0,0.183823529,0.768288084
8,16,2,4,15,0,0,0,0,0.183823529,0.768288084
8,16,2,4,15,0,0,0,0,0.432550981,0.537745287
8,16,2,4,15,0,0,0,0,0.432550981,0.537745287
8,16,2,4,15,0,0,0,0,0.432550981,0.537745287
8,16,2,4,15,0,0,0,0,0.432550981,0.537745287
8,16,2,4,15,0,0,0,0,0.432550981,0.537745287
8,16,2,4,15,0,0,0,0,0.432550981,0.537745287
8,16,2,4,15,0,0,0,0,0.432550981,0.537745287
8,16,2,4,15,0,0,0,0,0.432550981,0.537745287
8,16,2,4,15,0,0,0,0,0.432550981,0.537745287
8,16,2,4,15,0,0,0,0,0.432550981,0.537745287
8,16,2,4,15,0,0,0,0,0.432550981,0.537745287
8,16,2,4,15,0,0,0,0,0.566401543,0.413593637
8,16,2,4,15,0,0,0,0,0.566401543,0.413593637
8,16,2,4,15,0,0,0,0,0.566401543,0.413593637
8,16,2,4,15,0,0,0,0,0.566401543,0.413593637
8,16,2,4,15,0,0,0,0,0.213352685,0.746879536
8,16,2,4,15,0,0,0,0,0.213352685,0.746879536
8,16,2,4,15,0,0,0,0,0.213352685,0.746879536
8,16,2,4,15,0,0,0,0,0.204971718,0.755730872
8,16,2,4,15,0,0,0,0,0.204971718,0.755730872
8,16,2,4,15,0,0,0,0,0.204971718,0.755730872
8,16,2,4,15,0,0,0,0,0.24566817,0.70709708
8,16,2,4,15,0,0,0,0,0.24566817,0.70709708
8,16,2,4,15,0,0,0,0,0.24566817,0.70709708
8,16,2,4,15,0,0,0,0,0.360805861,0.60546398
8,16,2,4,15,0,0,0,0,0.360805861,0.60546398
8,16,2,4,15,0,0,0,0,0.360805861,0.60546398
8,16,2,4,15,0,0,0,0,0.360805861,0.60546398
8,16,2,4,15,0,0,0,0,0.360805861,0.60546398
8,16,2,4,15,0,0,0,0,0.202031144,0.751749041
8,16,2,4,15,0,0,0,0,0.202031144,0.751749041
8,16,2,4,15,0,0,0,0,0.202031144,0.751749041
8,16,2,4,15,0,0,0,0,0.202031144,0.751749041
8,16,2,4,15,0,0,0,0,0.202031144,0.751749041
8,16,2,4,15,0,0,0,0,0.202031144,0.751749041
8,16,2,4,15,0,0,0,0,0.202031144,0.751749041
8,16,2,4,15,0,0,0,0,0.266812363,0.705151421
8,16,2,4,15,0,0,0,0,0.266812363,0.705151421
8,16,2,4,15,0,0,0,0,0.266812363,0.705151421
8,16,2,4,15,0,0,0,0,0.266812363,0.705151421
8,16,2,4,15,0,0,0,0,0.266812363,0.705151421
8,16,2,4,15,0,0,0,0,0.266812363,0.705151421
